direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2021/12/03,56385.97,2021/12/03,56956.96,570.989999999998,1.012645521572118,1.0101264552157212,4.999999999999995,,0.2025291043144238,2,exit-rule,53566.671500000004,,
long,2021/12/03,56696.81,Invalid date,57157.29,460.4800000000032,0.8121797328632832,1.008121797328633,4.999999999999997,,0.16243594657265673,1,exit-rule,53861.9695,,
long,Invalid date,56689.36,Invalid date,56694.32,4.959999999999127,0.008749437284173127,1.0000874943728417,5.000000000000001,,0.001749887456834625,2,exit-rule,53854.892,,
long,Invalid date,56744.89,Invalid date,57343.7,598.8099999999977,1.0552668266693224,1.0105526682666932,5.000000000000001,,0.21105336533386443,1,exit-rule,53907.6455,,
long,Invalid date,59940,Invalid date,59681.21,-258.7900000000009,-0.4317484150817499,0.9956825158491825,5,,-0.08634968301634997,1,exit-rule,56943,,
long,Invalid date,59701.1,Invalid date,59928.71,227.61000000000058,0.3812492567138639,1.0038124925671386,5,,0.07624985134277276,1,exit-rule,56716.045,,
long,Invalid date,60081.55,Invalid date,60066.56,-14.990000000005239,-0.024949422909371074,0.9997505057709063,4.999999999999999,,-0.004989884581874216,3,exit-rule,57077.4725,,
long,Invalid date,60379.99,Invalid date,57360.9905,-3018.999499999998,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,2,stop-loss,57360.9905,,
long,Invalid date,57757.71,Invalid date,54869.8245,-2887.8854999999967,-4.999999999999994,0.9500000000000001,4.999999999999994,,-1,14,stop-loss,54869.8245,,
long,Invalid date,54471.57,Invalid date,56900.74,2429.1699999999983,4.459518974760592,1.044595189747606,5.000000000000006,,0.8919037949521174,21,exit-rule,51747.9915,,
long,Invalid date,54763.59,Invalid date,57575.51,2811.9200000000055,5.134652421435494,1.051346524214355,4.999999999999997,,1.0269304842870992,8,exit-rule,52025.4105,,
long,Invalid date,57294.12,Invalid date,57900.06,605.939999999995,1.057595439113115,1.0105759543911312,4.9999999999999964,,0.21151908782262313,1,exit-rule,54429.414000000004,,
long,Invalid date,57641,Invalid date,57779.84,138.8399999999965,0.24087021391023142,1.0024087021391024,5.000000000000005,,0.04817404278204624,3,exit-rule,54758.95,,
long,Invalid date,58142.29,Invalid date,58338.09,195.79999999999563,0.33676004161514045,1.0033676004161514,5.000000000000006,,0.06735200832302801,1,exit-rule,55235.1755,,
long,Invalid date,58030.01,Invalid date,58724.02,694.0099999999948,1.1959501644063042,1.011959501644063,5.000000000000003,,0.23919003288126067,1,exit-rule,55128.5095,,
long,Invalid date,58209.83,Invalid date,58344.3,134.47000000000116,0.23100909245053827,1.0023100909245053,5.000000000000006,,0.0462018184901076,1,exit-rule,55299.3385,,
long,Invalid date,58519.77,Invalid date,58503.01,-16.75999999999476,-0.028639893834160254,0.9997136010616584,5,,-0.005727978766832052,1,exit-rule,55593.7815,,
long,Invalid date,58331.42,Invalid date,58085.41,-246.00999999999476,-0.4217452618160072,0.9957825473818399,4.999999999999994,,-0.08434905236320153,20,exit-rule,55414.849,,
long,Invalid date,57351.56,Invalid date,57908.82,557.260000000002,0.9716562199877423,1.0097165621998774,5.000000000000003,,0.19433124399754836,10,exit-rule,54483.981999999996,,
long,Invalid date,56969.98,Invalid date,54121.481,-2848.4990000000034,-5.000000000000006,0.95,5.000000000000006,,-1,7,stop-loss,54121.481,,
long,Invalid date,54083.25,Invalid date,56900,2816.75,5.2081744347834125,1.052081744347834,4.999999999999997,,1.0416348869566832,36,exit-rule,51379.0875,,
long,Invalid date,54736.52,Invalid date,51999.693999999996,-2736.826000000001,-5.000000000000002,0.95,5.000000000000002,,-1,1,stop-loss,51999.693999999996,,
long,Invalid date,52303.66,Invalid date,56163.52,3859.8599999999933,7.379713006699709,1.073797130066997,4.999999999999995,,1.4759426013399435,65,exit-rule,49688.477000000006,,
long,Invalid date,55525.25,Invalid date,55800,274.75,0.4948199242686886,1.004948199242687,4.999999999999995,,0.09896398485373782,1,exit-rule,52748.9875,,
long,Invalid date,55192.08,Invalid date,55600.01,407.9300000000003,0.7391096693583578,1.0073910966935835,4.999999999999999,,0.14782193387167158,3,exit-rule,52432.476,,
long,Invalid date,55409.68,Invalid date,55911.99,502.3099999999977,0.9065383521435202,1.0090653835214352,5.000000000000007,,0.18130767042870377,6,exit-rule,52639.195999999996,,
