date,open,high,low,close,volume,quoteVolume
"18/03/2021, 22:00:00",57294.12000000,57898.66000000,57023.00000000,57508.90000000,2886.38146400,166099816.10098642
"18/03/2021, 23:00:00",57506.15000000,57995.00000000,57434.79000000,57900.05000000,1567.21836000,90568291.24721251
"19/03/2021, 00:00:00",57900.06000000,58146.60000000,57623.23000000,57627.64000000,1703.48873100,98643846.84367895
"19/03/2021, 01:00:00",57635.11000000,58036.43000000,57354.24000000,57648.16000000,1792.26115700,103432765.42157160
"19/03/2021, 02:00:00",57641.00000000,57689.65000000,56270.74000000,56880.00000000,4455.45187500,253070962.09478709
"19/03/2021, 03:00:00",56880.00000000,57413.67000000,56663.23000000,57393.18000000,1844.07931800,105265428.45446349
"19/03/2021, 04:00:00",57393.19000000,57763.00000000,57200.00000000,57358.32000000,1694.18144200,97307383.21843027
"19/03/2021, 05:00:00",57358.31000000,57898.48000000,57298.81000000,57779.84000000,1431.32020600,82462970.94126710
"19/03/2021, 06:00:00",57779.84000000,58259.02000000,57632.38000000,57866.12000000,1888.53228500,109408385.55747506
"19/03/2021, 07:00:00",57866.13000000,58391.78000000,57603.92000000,58364.76000000,1694.97517700,98262292.53285442
"19/03/2021, 08:00:00",58362.01000000,58492.85000000,57978.71000000,58142.29000000,1609.31248800,93601976.39314127
"19/03/2021, 09:00:00",58142.29000000,58381.50000000,57700.00000000,57834.04000000,1715.83562300,99685537.27183893
"19/03/2021, 10:00:00",57834.04000000,58568.00000000,57499.63000000,58338.07000000,3166.10615900,184070527.78925468
"19/03/2021, 11:00:00",58338.09000000,58888.00000000,58178.13000000,58300.00000000,2622.97662600,153558830.06692741
"19/03/2021, 12:00:00",58295.02000000,58707.27000000,58101.97000000,58583.92000000,1819.57824000,106206708.27996261
"19/03/2021, 13:00:00",58583.92000000,58834.49000000,58402.66000000,58831.33000000,2091.39124600,122595300.34469474
"19/03/2021, 14:00:00",58831.34000000,59249.50000000,58718.57000000,58849.99000000,2998.89340500,176968100.07543716
"19/03/2021, 15:00:00",58849.99000000,58884.00000000,58057.04000000,58280.00000000,3297.06543700,192659656.79324941
"19/03/2021, 16:00:00",58279.99000000,58786.03000000,57950.59000000,58729.99000000,2375.16803100,138727999.56583795
"19/03/2021, 17:00:00",58729.98000000,59164.86000000,58500.00000000,58971.50000000,2704.90537500,159309454.29883239
"19/03/2021, 18:00:00",58977.04000000,59180.00000000,58610.56000000,58859.79000000,2724.40921100,160457239.10271708
"19/03/2021, 19:00:00",58857.51000000,58976.47000000,58625.00000000,58864.30000000,1451.31398100,85356895.91241080
